task_id,developer,task_name,source_branch,dim1_boundary_verdict,dim1_boundary_rule_code,dim1_boundary_rule_label,dim1_task_md_size_bytes,dim1_in_intermediate_fp,dim2_canonical_e_code,dim2_canonical_verdict,dim2_in_intermediate_fp,dim2_intermediate_verdict,dimensions_agree,conflict_type,resolved_verdict,resolution_rule
fan/coupon-manager,fan,coupon-manager,fan-dev,KEEP,E0,Passes all inclusion criteria,87,yes,E0,KEEP,YES,KEEP,yes,none,KEEP,both_dimensions_agree
fan/discount-calculator,fan,discount-calculator,fan-dev,DROP,E1,CJK characters detected in docs/ file,163,no,E0,KEEP,NO,absent,no,dim1_DROP_E1_vs_dim2_KEEP_E0,KEEP,SR-2:canonical_finalpool_wins
fan/loyalty-program,fan,loyalty-program,fan-dev,KEEP,E0,Passes all inclusion criteria,89,yes,E0,KEEP,YES,KEEP,yes,none,KEEP,both_dimensions_agree
fan/price-tracker,fan,price-tracker,fan-dev,KEEP,E0,Passes all inclusion criteria,83,yes,E0,KEEP,YES,KEEP,yes,none,KEEP,both_dimensions_agree
fan/product-comparator,fan,product-comparator,fan-dev,KEEP,E0,Passes all inclusion criteria,95,yes,E1,DROP,YES,KEEP,no,dim1_KEEP_E0_vs_dim2_DROP_E1,DROP,SR-2:canonical_finalpool_wins
fan/review-aggregator,fan,review-aggregator,fan-dev,DROP,E3,Structurally complete; dropped for semantic uniqueness,93,yes,E3,DROP,YES,KEEP,yes,none,DROP,both_dimensions_agree
fan/shopping-cart,fan,shopping-cart,fan-dev,DROP,E3,Structurally complete; dropped for semantic uniqueness,85,yes,E1,DROP,YES,KEEP,yes,none,DROP,both_dimensions_agree
fan/wishlist-manager,fan,wishlist-manager,fan-dev,DROP,E3,Structurally complete; dropped for semantic uniqueness,91,yes,E3,DROP,YES,KEEP,yes,none,DROP,both_dimensions_agree
gyy/blog-engine,gyy,blog-engine,gyy,KEEP,E0,Passes all inclusion criteria,81,yes,E0,KEEP,YES,KEEP,yes,none,KEEP,both_dimensions_agree
gyy/cms-builder,gyy,cms-builder,gyy,KEEP,E0,Passes all inclusion criteria,79,yes,E0,KEEP,YES,KEEP,yes,none,KEEP,both_dimensions_agree
gyy/comment-moderator,gyy,comment-moderator,gyy,KEEP,E0,Passes all inclusion criteria,89,yes,E3,DROP,YES,KEEP,no,dim1_KEEP_E0_vs_dim2_DROP_E3,DROP,SR-2:canonical_finalpool_wins
gyy/content-scheduler,gyy,content-scheduler,gyy,DROP,E2,Missing evaluation/main.py or required workspace directory,91,no,E0,KEEP,NO,absent,no,dim1_DROP_E2_vs_dim2_KEEP_E0,KEEP,SR-2:canonical_finalpool_wins
gyy/robots-handler,gyy,robots-handler,gyy,KEEP,E0,Passes all inclusion criteria,85,yes,E0,KEEP,YES,KEEP,yes,none,KEEP,both_dimensions_agree
gyy/seo-optimizer,gyy,seo-optimizer,gyy,KEEP,E0,Passes all inclusion criteria,83,yes,E1,DROP,YES,KEEP,no,dim1_KEEP_E0_vs_dim2_DROP_E1,DROP,SR-2:canonical_finalpool_wins
gyy/sitemap-generator,gyy,sitemap-generator,gyy,DROP,E2,Missing evaluation/main.py or required workspace directory,91,no,E2,DROP,NO,absent,yes,none,DROP,both_dimensions_agree
gyy/social-publisher,gyy,social-publisher,gyy,DROP,E2,Missing evaluation/main.py or required workspace directory,93,no,E0,KEEP,NO,absent,no,dim1_DROP_E2_vs_dim2_KEEP_E0,KEEP,SR-2:canonical_finalpool_wins
gyy/tag-manager,gyy,tag-manager,gyy,KEEP,E0,Passes all inclusion criteria,79,yes,E0,KEEP,YES,KEEP,yes,none,KEEP,both_dimensions_agree
haoze/audio-converter,haoze,audio-converter,haoze,KEEP,E0,Passes all inclusion criteria,85,yes,E1,DROP,YES,KEEP,no,dim1_KEEP_E0_vs_dim2_DROP_E1,DROP,SR-2:canonical_finalpool_wins
haoze/media-organizer,haoze,media-organizer,haoze,KEEP,E0,Passes all inclusion criteria,87,yes,E0,KEEP,YES,KEEP,yes,none,KEEP,both_dimensions_agree
haoze/photo-editor,haoze,photo-editor,haoze,KEEP,E0,Passes all inclusion criteria,79,yes,E1,DROP,YES,KEEP,no,dim1_KEEP_E0_vs_dim2_DROP_E1,DROP,SR-2:canonical_finalpool_wins
haoze/streaming-service,haoze,streaming-service,haoze,KEEP,E0,Passes all inclusion criteria,89,yes,E0,KEEP,YES,KEEP,yes,none,KEEP,both_dimensions_agree
haoze/subtitle-generator,haoze,subtitle-generator,haoze,DROP,E1,CJK characters detected in docs/ file,160,yes,E0,KEEP,YES,KEEP,no,dim1_DROP_E1_vs_dim2_KEEP_E0,KEEP,SR-2:canonical_finalpool_wins
haoze/thumbnail-creator,haoze,thumbnail-creator,haoze,DROP,E1,CJK characters detected in docs/ file,157,yes,E3,DROP,YES,KEEP,yes,none,DROP,both_dimensions_agree
haoze/video-trimmer,haoze,video-trimmer,haoze,DROP,E1,CJK characters detected in docs/ file,142,no,E0,KEEP,NO,absent,no,dim1_DROP_E1_vs_dim2_KEEP_E0,KEEP,SR-2:canonical_finalpool_wins
jl/canvas-grade-automation,jl,canvas-grade-automation,jl_dev,KEEP,E0,Passes all inclusion criteria,113,yes,E0,KEEP,YES,KEEP,yes,none,KEEP,both_dimensions_agree
jl/customer-feedback-processor,jl,customer-feedback-processor,jl_dev,KEEP,E0,Passes all inclusion criteria,115,yes,E0,KEEP,YES,KEEP,yes,none,KEEP,both_dimensions_agree
jl/email-classification-system,jl,email-classification-system,jl_dev,KEEP,E0,Passes all inclusion criteria,111,yes,E0,KEEP,YES,KEEP,yes,none,KEEP,both_dimensions_agree
jl/inventory-management,jl,inventory-management,jl_dev,KEEP,E0,Passes all inclusion criteria,99,yes,E0,KEEP,YES,KEEP,yes,none,KEEP,both_dimensions_agree
jl/monthly-sales-analysis,jl,monthly-sales-analysis,jl_dev,DROP,E1,CJK characters detected in docs/ file,172,yes,E1,DROP,YES,KEEP,yes,none,DROP,both_dimensions_agree
jl/pdf-report-generator,jl,pdf-report-generator,jl_dev,KEEP,E0,Passes all inclusion criteria,105,yes,E0,KEEP,YES,KEEP,yes,none,KEEP,both_dimensions_agree
jl/weekly-expense-tracker,jl,weekly-expense-tracker,jl_dev,DROP,E2,Missing evaluation/main.py or required workspace directory,97,no,E2,DROP,NO,absent,yes,none,DROP,both_dimensions_agree
junteng/booking-system,junteng,booking-system,junteng_dev,KEEP,E0,Passes all inclusion criteria,85,yes,E0,KEEP,YES,KEEP,yes,none,KEEP,both_dimensions_agree
junteng/calendar-sync,junteng,calendar-sync,junteng_dev,KEEP,E0,Passes all inclusion criteria,79,yes,E0,KEEP,YES,KEEP,yes,none,KEEP,both_dimensions_agree
junteng/contact-manager,junteng,contact-manager,junteng_dev,KEEP,E0,Passes all inclusion criteria,87,yes,E0,KEEP,YES,KEEP,yes,none,KEEP,both_dimensions_agree
junteng/customer-portal,junteng,customer-portal,junteng_dev,DROP,E2,Missing evaluation/main.py or required workspace directory,93,no,E2,DROP,NO,absent,yes,none,DROP,both_dimensions_agree
junteng/help-desk,junteng,help-desk,junteng_dev,KEEP,E0,Passes all inclusion criteria,77,yes,E0,KEEP,YES,KEEP,yes,none,KEEP,both_dimensions_agree
junteng/inventory-tracker,junteng,inventory-tracker,junteng_dev,KEEP,E0,Passes all inclusion criteria,91,yes,E1,DROP,YES,KEEP,no,dim1_KEEP_E0_vs_dim2_DROP_E1,DROP,SR-2:canonical_finalpool_wins
junteng/order-processor,junteng,order-processor,junteng_dev,KEEP,E0,Passes all inclusion criteria,89,no,E0,KEEP,NO,absent,yes,none,KEEP,both_dimensions_agree
junteng/product-catalog,junteng,product-catalog,junteng_dev,KEEP,E0,Passes all inclusion criteria,87,yes,E0,KEEP,YES,KEEP,yes,none,KEEP,both_dimensions_agree
junteng/reminder-service,junteng,reminder-service,junteng_dev,DROP,E1,CJK characters detected in docs/ file,154,no,E0,KEEP,NO,absent,no,dim1_DROP_E1_vs_dim2_KEEP_E0,KEEP,SR-2:canonical_finalpool_wins
junteng/shipment-tracker,junteng,shipment-tracker,junteng_dev,KEEP,E0,Passes all inclusion criteria,91,no,E0,KEEP,NO,absent,yes,none,KEEP,both_dimensions_agree
junxian/barcode-scanner,junxian,barcode-scanner,junxian_dev,KEEP,E0,Passes all inclusion criteria,87,yes,E1,DROP,YES,KEEP,no,dim1_KEEP_E0_vs_dim2_DROP_E1,DROP,SR-2:canonical_finalpool_wins
junxian/currency-converter,junxian,currency-converter,junxian_dev,KEEP,E0,Passes all inclusion criteria,91,yes,E1,DROP,YES,KEEP,no,dim1_KEEP_E0_vs_dim2_DROP_E1,DROP,SR-2:canonical_finalpool_wins
junxian/location-tracker,junxian,location-tracker,junxian_dev,DROP,E2,Missing evaluation/main.py or required workspace directory,91,no,E2,DROP,NO,absent,yes,none,DROP,both_dimensions_agree
