task_id,developer,task_name,source_branch,in_intermediate_readme,intermediate_readme_verdict,canonical_rule_code,canonical_verdict,resolved_verdict,resolution_rule
lueyang/activity-logger,lueyang,activity-logger,lueyang-dev,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
yuzhen/alert-system,yuzhen,alert-system,yuzhen-dev,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
lv/analytics-dashboard,lv,analytics-dashboard,lv,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
zhaochen/api-tester,zhaochen,api-tester,zhaochen,YES,KEEP,E1,DROP,DROP,SR-2:canonical_wins_over_intermediate_KEEP
yuxuan/asset-optimizer,yuxuan,asset-optimizer,yuxuan-dev,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
haoze/audio-converter,haoze,audio-converter,haoze,YES,KEEP,E1,DROP,DROP,SR-2:canonical_wins_over_intermediate_KEEP
yuzhen/audit-logger,yuzhen,audit-logger,yuzhen-dev,YES,KEEP,E1,DROP,DROP,SR-2:canonical_wins_over_intermediate_KEEP
xiaochen/backup-utility,xiaochen,backup-utility,xiaochen_dev,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
junxian/barcode-scanner,junxian,barcode-scanner,junxian_dev,YES,KEEP,E1,DROP,DROP,SR-2:canonical_wins_over_intermediate_KEEP
yuxuan/batch-processor,yuxuan,batch-processor,yuxuan-dev,NO,absent,E2,DROP,DROP,both_sources_agree
gyy/blog-engine,gyy,blog-engine,gyy,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
junteng/booking-system,junteng,booking-system,junteng_dev,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
wenshuo/cache-optimizer,wenshuo,cache-optimizer,wenshuo-dev,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
junteng/calendar-sync,junteng,calendar-sync,junteng_dev,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
ruige/canvas-automation,ruige,canvas-automation,ruige,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
jl/canvas-grade-automation,jl,canvas-grade-automation,jl_dev,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
zhaochen/certificate-manager,zhaochen,certificate-manager,zhaochen,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
lv/chat-bot,lv,chat-bot,lv,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
lueyang/client-portal,lueyang,client-portal,lueyang-dev,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
gyy/cms-builder,gyy,cms-builder,gyy,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
xiaochen/code-reviewer,xiaochen,code-reviewer,xiaochen_dev,YES,KEEP,E3,DROP,DROP,SR-2:canonical_wins_over_intermediate_KEEP
gyy/comment-moderator,gyy,comment-moderator,gyy,YES,KEEP,E3,DROP,DROP,SR-2:canonical_wins_over_intermediate_KEEP
junteng/contact-manager,junteng,contact-manager,junteng_dev,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
lueyang/contact-scorer,lueyang,contact-scorer,lueyang-dev,YES,KEEP,E1,DROP,DROP,SR-2:canonical_wins_over_intermediate_KEEP
yuxuan/content-manager,yuxuan,content-manager,yuxuan-dev,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
gyy/content-scheduler,gyy,content-scheduler,gyy,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
fan/coupon-manager,fan,coupon-manager,fan-dev,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
lueyang/crm-system,lueyang,crm-system,lueyang-dev,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
junxian/currency-converter,junxian,currency-converter,junxian_dev,YES,KEEP,E1,DROP,DROP,SR-2:canonical_wins_over_intermediate_KEEP
