field,candidate_value,source_file,source_branch,source_repo,agrees_with_others,chosen,conflict_type,note
project_name,MCPBench-Dev,README.md,boundary-review,bugmaker00/BenchTasksCollv3-review,no,yes,label_conflict,Active working name used in all live README.md files across every repo/branch
project_name,BenchTaskCollv2,README_BASE.md,boundary-review,bugmaker00/BenchTasksCollv3-review,no,no,label_conflict,Base template name in README_BASE.md; appears to be the historical v2 label
project_name,BenchTasksCollv3-review,GitHub repo metadata,N/A,bugmaker00/BenchTasksCollv3-review,no,no,label_conflict,Repository name on GitHub; encodes collection version (v3) and role (-review); not a user-facing project title
total_candidates,116,boundary_review.csv,boundary-review,bugmaker00/BenchTasksCollv3-review,yes,yes,multi_source_agreement,116 data rows (excluding header) counted directly
total_candidates,116,Issue #1 body (PR title),N/A,bugmaker00/BenchTasksCollv3-review,yes,yes,multi_source_agreement,Stated explicitly: '116 candidates' in issue title and body table
total_kept_e0,77,boundary_review.csv,boundary-review,bugmaker00/BenchTasksCollv3-review,yes,yes,multi_source_agreement,Count of KEEP/E0 rows in boundary_review.csv
total_kept_e0,77,kept_subset.json (total_kept field),boundary-review,bugmaker00/BenchTasksCollv3-review,yes,yes,multi_source_agreement,top-level field total_kept = 77
total_kept_e0,77,readback_audit.md (Tasks in scope),finalpool,bugmaker00/BenchTasksCollv3-review,yes,yes,multi_source_agreement,Audit summary row: 'Tasks in scope: 77'
total_kept_e0,77,Issue #1 body,N/A,bugmaker00/BenchTasksCollv3-review,yes,yes,multi_source_agreement,Stated in table: KEEP | E0 | 77
total_drop_e1,20,boundary_review.csv,boundary-review,bugmaker00/BenchTasksCollv3-review,yes,yes,multi_source_agreement,Count of DROP/E1 rows
total_drop_e1,20,Issue #1 body,N/A,bugmaker00/BenchTasksCollv3-review,yes,yes,multi_source_agreement,Table row: DROP | E1 | 20
total_drop_e2,10,boundary_review.csv,boundary-review,bugmaker00/BenchTasksCollv3-review,yes,yes,multi_source_agreement,Count of DROP/E2 rows
total_drop_e2,10,Issue #1 body,N/A,bugmaker00/BenchTasksCollv3-review,yes,yes,multi_source_agreement,Table row: DROP | E2 | 10
total_drop_e3,9,boundary_review.csv,boundary-review,bugmaker00/BenchTasksCollv3-review,yes,yes,multi_source_agreement,Count of DROP/E3 rows
total_drop_e3,9,borderline_cases.md (task count),boundary-review,bugmaker00/BenchTasksCollv3-review,yes,yes,multi_source_agreement,9 E3 task profiles documented with detailed narratives
total_drop_e3,9,Issue #1 body,N/A,bugmaker00/BenchTasksCollv3-review,yes,yes,multi_source_agreement,Table row: DROP | E3 | 9; also stated '9 closest-rejected (E3) tasks' in files table
total_files_finalpool,385,full_scope.csv (row count),finalpool,bugmaker00/BenchTasksCollv3-review,yes,yes,multi_source_agreement,385 data rows counted directly in full_scope.csv
total_files_finalpool,385,readback_audit.md (Files in scope / Files observed live),finalpool,bugmaker00/BenchTasksCollv3-review,yes,yes,multi_source_agreement,Both 'Files in scope (CSV)' and 'Files observed live' equal 385; 385 SHA matches
